"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","04-Apr-2016","        379.65","        385.95","        391.00","        382.40","        387.40","        388.40","        387.25","    6011729","          2328038453.30","      96258","    2164588","         36.01"
"TATAMOTORS","EQ","05-Apr-2016","        388.40","        386.00","        386.00","        369.00","        370.05","        370.50","        377.62","    6058241","          2287710483.50","      89624","    2345250","         38.71"
"TATAMOTORS","EQ","06-Apr-2016","        370.50","        373.70","        382.40","        372.05","        376.25","        376.70","        378.00","    7323269","          2768164576.40","      88551","    2696676","         36.82"
"TATAMOTORS","EQ","07-Apr-2016","        376.70","        375.95","        384.80","        370.30","        375.20","        375.20","        377.63","    8724110","          3294463129.85","     115339","    2410088","         27.63"
"TATAMOTORS","EQ","08-Apr-2016","        375.20","        375.50","        380.05","        370.50","        371.60","        371.45","        374.60","    4860484","          1820726699.70","      66676","    1380100","         28.39"
"TATAMOTORS","EQ","11-Apr-2016","        371.45","        373.95","        387.80","        373.90","        386.00","        386.65","        381.14","    6827449","          2602205795.65","      92223","    2414689","         35.37"
"TATAMOTORS","EQ","12-Apr-2016","        386.65","        387.95","        397.40","        387.15","        395.50","        395.80","        393.05","    7702684","          3027549941.80","     105900","    2839081","         36.86"
"TATAMOTORS","EQ","13-Apr-2016","        395.80","        400.00","        411.75","        398.15","        408.65","        408.75","        407.13","   12373115","          5037443990.90","     168964","    6662560","         53.85"
"TATAMOTORS","EQ","18-Apr-2016","        408.75","        407.65","        409.90","        402.50","        407.00","        407.35","        406.23","    5571076","          2263116756.50","      77253","    2566673","         46.07"
"TATAMOTORS","EQ","20-Apr-2016","        407.35","        407.00","        410.35","        400.65","        403.85","        404.10","        405.83","    7589901","          3080243737.20","     100611","    3629564","         47.82"
"TATAMOTORS","EQ","21-Apr-2016","        404.10","        408.70","        417.20","        406.00","        410.50","        411.50","        411.43","    9211869","          3790068646.45","     111112","    4678184","         50.78"
"TATAMOTORS","EQ","22-Apr-2016","        411.50","        412.10","        420.50","        408.00","        417.10","        417.00","        416.08","    5995998","          2494804238.35","      75965","    2148363","         35.83"
"TATAMOTORS","EQ","25-Apr-2016","        417.00","        417.60","        417.60","        410.00","        412.00","        412.20","        412.76","    3272996","          1350953355.85","      63481","    1203343","         36.77"
"TATAMOTORS","EQ","26-Apr-2016","        412.20","        408.65","        423.65","        405.05","        418.35","        419.05","        416.78","    6998505","          2916830580.80","     106925","    2904984","         41.51"
"TATAMOTORS","EQ","27-Apr-2016","        419.05","        418.95","        425.25","        414.65","        419.10","        418.55","        420.75","    6227941","          2620408235.70","      95959","    2918121","         46.86"
"TATAMOTORS","EQ","28-Apr-2016","        418.55","        418.80","        420.95","        409.70","        410.45","        411.35","        413.77","    7546101","          3122376408.40","     150016","    4180794","         55.40"
"TATAMOTORS","EQ","29-Apr-2016","        411.35","        410.00","        413.70","        403.05","        408.10","        408.35","        407.72","    6251095","          2548713443.55","     104590","    2709408","         43.34"
"TATAMOTORS","EQ","02-May-2016","        408.35","        407.95","        410.45","        402.50","        408.20","        407.70","        406.96","    4178821","          1700632782.15","      57962","    1414442","         33.85"
"TATAMOTORS","EQ","03-May-2016","        407.70","        410.90","        422.00","        407.80","        408.85","        409.65","        415.54","    9620804","          3997866699.80","     104175","    2961494","         30.78"
"TATAMOTORS","EQ","04-May-2016","        409.65","        405.50","        405.50","        380.10","        383.15","        381.80","        389.08","   12069134","          4695882346.70","     136649","    5276917","         43.72"
"TATAMOTORS","EQ","05-May-2016","        381.80","        384.00","        396.05","        383.15","        389.70","        391.15","        391.17","    9601341","          3755759880.85","      97494","    4320362","         45.00"
"TATAMOTORS","EQ","06-May-2016","        391.15","        388.60","        400.90","        384.50","        397.60","        398.70","        392.37","    9953672","          3905565969.90","     113433","    5292817","         53.17"
"TATAMOTORS","EQ","09-May-2016","        398.70","        400.35","        405.20","        395.15","        402.65","        403.35","        400.62","    8700283","          3485501074.95","     103866","    3768260","         43.31"
"TATAMOTORS","EQ","10-May-2016","        403.35","        400.80","        400.80","        387.15","        389.95","        388.95","        390.89","    9166453","          3583065896.10","     122990","    4215780","         45.99"
"TATAMOTORS","EQ","11-May-2016","        388.95","        384.80","        391.95","        376.10","        380.40","        379.85","        383.75","   11595875","          4449969068.70","     131335","    4527541","         39.04"
"TATAMOTORS","EQ","12-May-2016","        379.85","        379.00","        388.60","        379.00","        387.00","        387.05","        385.58","    6506343","          2508710558.20","      72505","    2711453","         41.67"
"TATAMOTORS","EQ","13-May-2016","        387.05","        391.25","        394.00","        385.50","        389.50","        389.95","        390.35","   14027896","          5475843915.75","     146771","    7783927","         55.49"
"TATAMOTORS","EQ","16-May-2016","        389.95","        393.80","        396.70","        389.00","        390.75","        392.70","        393.22","    8248193","          3243327646.40","      87893","    4095663","         49.66"
"TATAMOTORS","EQ","17-May-2016","        392.70","        392.60","        395.00","        386.60","        389.50","        389.70","        391.45","    9425555","          3689604099.15","      90601","    4250112","         45.09"
"TATAMOTORS","EQ","18-May-2016","        389.70","        383.50","        387.35","        381.60","        384.75","        384.85","        384.67","    8589315","          3304074476.85","      93580","    4525540","         52.69"
"TATAMOTORS","EQ","19-May-2016","        384.85","        386.25","        393.30","        381.95","        384.65","        386.90","        389.66","   10988676","          4281792708.90","      87631","    5758286","         52.40"
"TATAMOTORS","EQ","20-May-2016","        386.90","        386.70","        392.70","        383.50","        384.00","        384.45","        388.82","    6537509","          2541941968.85","      72726","    3313819","         50.69"
"TATAMOTORS","EQ","23-May-2016","        384.45","        388.55","        389.95","        380.10","        383.30","        381.75","        386.20","    8153090","          3148755710.80","      89566","    4069433","         49.91"
"TATAMOTORS","EQ","24-May-2016","        381.75","        383.80","        391.75","        382.65","        389.00","        389.10","        389.07","   10568106","          4111694018.60","      91891","    6545991","         61.94"
"TATAMOTORS","EQ","25-May-2016","        389.10","        394.00","        399.95","        394.00","        396.55","        397.00","        397.32","    8897382","          3535066099.30","      95924","    5066654","         56.95"
"TATAMOTORS","EQ","26-May-2016","        397.00","        400.50","        402.00","        396.75","        400.00","        399.25","        399.26","    8469732","          3381592729.30","      89195","    5138069","         60.66"
"TATAMOTORS","EQ","27-May-2016","        399.25","        400.00","        405.00","        396.00","        403.10","        403.90","        401.07","    9035525","          3623856122.10","      82737","    3818131","         42.26"
"TATAMOTORS","EQ","30-May-2016","        403.90","        404.80","        423.60","        401.30","        423.00","        421.25","        415.18","   15767133","          6546205691.20","     186242","    6783607","         43.02"
"TATAMOTORS","EQ","31-May-2016","        421.25","        456.00","        464.90","        445.00","        455.60","        459.65","        457.17","  110744326","         50629434632.80","     438702","   73338482","         66.22"
"TATAMOTORS","EQ","01-Jun-2016","        459.65","        455.75","        458.30","        445.00","        446.80","        449.20","        452.70","   10389215","          4703223677.95","     140757","    4679600","         45.04"
"TATAMOTORS","EQ","02-Jun-2016","        449.20","        444.10","        460.50","        444.10","        453.00","        453.45","        454.99","   13674434","          6221681916.65","     147002","    5704701","         41.72"
"TATAMOTORS","EQ","03-Jun-2016","        453.45","        458.05","        461.80","        452.50","        452.55","        453.95","        457.01","   11672544","          5334479479.45","     110388","    5895577","         50.51"
"TATAMOTORS","EQ","06-Jun-2016","        453.95","        457.80","        465.00","        450.20","        462.55","        460.50","        456.15","    9356808","          4268077962.35","     117496","    3251389","         34.75"
"TATAMOTORS","EQ","07-Jun-2016","        460.50","        466.45","        466.45","        459.00","        463.20","        463.05","        462.35","   12568902","          5811261722.25","     119943","    6078541","         48.36"
"TATAMOTORS","EQ","08-Jun-2016","        463.05","        465.50","        468.80","        463.20","        465.00","        466.15","        465.59","   10467158","          4873377957.40","      82424","    4727977","         45.17"
"TATAMOTORS","EQ","09-Jun-2016","        466.15","        469.45","        470.25","        465.00","        467.00","        467.15","        467.17","    8525017","          3982604636.10","      73094","    2848037","         33.41"
"TATAMOTORS","EQ","10-Jun-2016","        467.15","        466.75","        466.75","        454.50","        457.40","        456.95","        460.95","    7039858","          3245054592.10","      90106","    2502464","         35.55"
"TATAMOTORS","EQ","13-Jun-2016","        456.95","        451.00","        451.40","        436.70","        444.55","        444.25","        442.07","    9507282","          4202843408.45","      92197","    4103230","         43.16"
"TATAMOTORS","EQ","14-Jun-2016","        444.25","        446.90","        453.85","        441.15","        448.70","        448.40","        448.85","    9615226","          4315751974.95","     134160","    3772548","         39.24"
"TATAMOTORS","EQ","15-Jun-2016","        448.40","        449.90","        453.00","        447.25","        451.55","        452.10","        450.48","    5704865","          2569932489.45","      71444","    2666380","         46.74"
"TATAMOTORS","EQ","16-Jun-2016","        452.10","        449.70","        455.50","        446.05","        453.90","        454.35","        450.51","    7255454","          3268647425.60","     107017","    3349838","         46.17"
"TATAMOTORS","EQ","17-Jun-2016","        454.35","        461.00","        465.75","        457.30","        463.65","        464.40","        462.54","    7836702","          3624826109.35","     128797","    3988140","         50.89"
"TATAMOTORS","EQ","20-Jun-2016","        464.40","        464.75","        484.20","        460.25","        482.60","        482.05","        473.11","    9261350","          4381666005.20","     104212","    3858579","         41.66"
"TATAMOTORS","EQ","21-Jun-2016","        482.05","        484.00","        486.20","        477.60","        484.30","        484.90","        482.43","    8907801","          4297416241.65","      95613","    4803735","         53.93"
